---
source: R[v4.4.3]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-04-04 18:13:20
schema:
  fields:
  - name: species
    type: character
  - name: posID
    type: numeric
  - name: tag
    type: character
  - name: time
    type: numeric
  - name: datetime
    type: POSIXct
  - name: x
    type: numeric
  - name: 'y'
    type: numeric
  - name: nbs
    type: numeric
  - name: varx
    type: numeric
  - name: vary
    type: numeric
  - name: speed_in
    type: numeric
  - name: speed_out
    type: numeric
  - name: x_raw
    type: numeric
  - name: y_raw
    type: numeric
  - name: n_aggregated
    type: integer
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,posID,tag,time,datetime,x,y,nbs,varx,vary,speed_in,speed_out,x_raw,y_raw,n_aggregated
redshank,1458.5,3027,1695447660,2023-09-23T05:41:00Z,650751.790319574,5901663.8173686,3,0.515453156530857,0.94508156657219,0.239101876706842,0.241294673956959,650752.167129822,5901664.29003863,20
redshank,1478.5,3027,1695447720,2023-09-23T05:42:00Z,650752.39124723,5901660.47243567,3.1,0.275930775105953,0.852355434298514,0.145783333240998,0.158598134387554,650752.437731708,5901660.45360717,20
redshank,1497.5,3027,1695447780,2023-09-23T05:43:00Z,650753.986889091,5901658.20709783,3.05555555555556,0.202858950988746,0.399534260785138,0.228391427012358,0.211773762822477,650754.139826877,5901658.31611633,18
redshank,1516,3027,1695447840,2023-09-23T05:44:00Z,650758.812840915,5901651.9669577,3,0.190986809968288,0.402754563704092,0.180773696600164,0.191895970133598,650758.853221746,5901652.37504335,19
redshank,1535.5,3027,1695447900,2023-09-23T05:45:00Z,650760.466726543,5901646.21985531,3,0.265272359251976,0.514038974046708,0.266458689014,0.251512869798694,650760.590122723,5901646.35822405,20
redshank,1554.5,3027,1695447960,2023-09-23T05:46:00Z,650759.200476848,5901642.89182842,3.05555555555556,0.283601520238099,0.728675029160064,0.167395760312139,0.178716827331005,650758.958941845,5901642.68410963,18
redshank,1573.5,3027,1695448020,2023-09-23T05:47:00Z,650761.31409476,5901641.50051995,3,0.258883418440819,0.379949201345444,0.235896252588599,0.253038771763161,650761.296762443,5901641.57769303,20
redshank,1592.5,3027,1695448080,2023-09-23T05:48:00Z,650764.772120565,5901639.27976411,3,0.464609572916855,0.832962508554811,0.233005154567352,0.236312682446882,650764.89959379,5901639.86476963,18
redshank,1608.5,3027,1695448140,2023-09-23T05:49:00Z,650761.823664216,5901639.99422526,3,0.586041313653089,1.50218738828387,0.213724088873227,0.17159834018383,650761.673124618,5901639.97954158,14
redshank,1617.5,3027,1695448200,2023-09-23T05:50:00Z,650764.470495514,5901641.40038379,3,3.2211796939373,10.62806224823,0.065044602587528,0.0633841566460066,650763.957138373,5901643.51969482,4
redshank,1622,3027,1695448260,2023-09-23T05:51:00Z,650764.441247228,5901640.92431914,3,2.77220258712768,7.37458976745606,0.152274709834734,0.202115786919837,650764.199929219,5901639.15704811,5
redshank,1631.5,3027,1695448320,2023-09-23T05:52:00Z,650764.157976608,5901638.77356021,3,2.54611934447775,2.99723325456892,0.283901856878864,0.331370782123744,650764.990405076,5901638.59127089,14
redshank,1648,3027,1695448380,2023-09-23T05:53:00Z,650767.704892614,5901638.79005045,3,1.29771797478694,1.49011154650321,0.269036257546844,0.225058972029623,650768.047704231,5901639.05693103,19
redshank,1665.5,3027,1695448440,2023-09-23T05:54:00Z,650767.260354024,5901636.22404651,3,3.71911187469959,1.46661134809256,0.38098192862206,0.3754841323551,650767.629129379,5901636.8492889,16
redshank,1674.5,3027,1695448500,2023-09-23T05:55:00Z,650767.672098046,5901637.01747757,3,72.464931488037,13.9919548034668,0.242058446417407,0.254195282049083,650764.519056106,5901639.0877554,2
redshank,1681,3027,1695448680,2023-09-23T05:58:00Z,650771.701667846,5901628.79044692,3.09090909090909,1.19464881361023,3.80304661467055,0.412299988557959,0.455133190470347,650771.884382831,5901627.3561683,11
redshank,1695,3027,1695448740,2023-09-23T05:59:00Z,650770.635114481,5901630.59769579,3,0.811902577489305,3.26790351603683,0.334151465882819,0.306872200864328,650770.576584746,5901630.43502114,17
redshank,1709,3027,1695448800,2023-09-23T06:00:00Z,650771.871114026,5901628.51159651,3,1.04136002556352,4.38142584178073,0.178975977621188,0.184573699113521,650771.959869935,5901628.93633555,11
redshank,1717,3027,1695448860,2023-09-23T06:01:00Z,650772.848072018,5901634.51080237,3,2.94217727661133,12.5574262237549,0.345359635622397,0.32670637094221,650773.084832374,5901635.56049054,5
redshank,1728,3027,1695448920,2023-09-23T06:02:00Z,650772.473272388,5901640.51356236,3,1.34708034043494,5.90194476764507,0.212503384801298,0.21711919734269,650772.59914211,5901640.13925457,17
redshank,1744,3027,1695448980,2023-09-23T06:03:00Z,650770.287638573,5901643.75699485,3,0.560459321339925,2.09165897157457,0.179051195026112,0.188170078657889,650771.033689357,5901644.66198674,15
